variant,kind,seed,fold,target,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
w/o modality gate,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o modality gate,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o modality gate,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o transformer block,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o transformer block,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o transformer block,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o transformer block,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o transformer block,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o transformer block,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o SAM,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o SAM,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o SAM,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o SAM,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o SAM,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o SAM,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o EMA,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o EMA,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o EMA,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o EMA,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
