tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
external_single,RandomForest,7,1,glass_adhesion_kpa,25,0.6979910698423728,34.35553651844985,25.63648884161701,0.549553394317627,0.8727779407438536,0.8730769230769231,0.8723642097766207
external_single,HistGB,7,1,glass_adhesion_kpa,25,0.5617698494318797,41.38452451251725,30.732551921730227,0.6619895696640015,0.8001357819526174,0.8276923076923076,0.8225005532804041
external_single,MLP,7,1,glass_adhesion_kpa,25,0.4557475447654724,46.119759610849016,34.02559280395508,0.7377346754074097,0.7931414842605591,0.7892307692307692,0.7543990915737735
external_single,Mean,7,2,glass_adhesion_kpa,25,-1.0546844005584717,89.61060237825517,71.0674057006836,1.4334170818328857,,,0.0
external_single,Ridge,7,2,glass_adhesion_kpa,25,0.6348304748535156,37.77757620165533,26.164770126342773,0.6042925715446472,0.839674711227417,0.8730769230769231,0.8257971887836791
external_single,ElasticNet,7,2,glass_adhesion_kpa,25,0.6347812414169312,37.780123988079865,26.17621421813965,0.6043333411216736,0.8395311832427979,0.8730769230769231,0.8257655577408272
external_single,KNN,7,2,glass_adhesion_kpa,25,0.5557117792091234,41.6695914360338,35.32869815871673,0.6665495038032532,0.8749139042966629,0.8484615384615384,0.8541714754296803
external_single,SVR-RBF,7,2,glass_adhesion_kpa,25,0.6086287234001883,39.10941476127503,28.68234259071687,0.6255967020988464,0.7962556077987386,0.826923076923077,0.8229457199773805
external_single,RandomForest,7,2,glass_adhesion_kpa,25,0.5979847851351807,39.63766726294774,32.26974874084891,0.634046733379364,0.8744644907363255,0.8584615384615385,0.8596133092281633
external_single,HistGB,7,2,glass_adhesion_kpa,25,0.5277039304459343,42.9629415301662,35.544301190719764,0.6872379779815674,0.8388579163437287,0.796075472547267,0.8294402467747404
external_single,MLP,7,2,glass_adhesion_kpa,25,0.5977742671966553,39.6480426396594,32.131290435791016,0.6342126727104187,0.7820044159889221,0.7007692307692307,0.8085712224133126
external_single,Mean,7,3,glass_adhesion_kpa,25,-1.1193478107452393,91.0097597359069,72.23072052001953,1.4557980298995972,0.0,0.0,0.0
external_single,Ridge,7,3,glass_adhesion_kpa,25,0.5650288462638855,41.230354578536854,31.425004959106445,0.6595234274864197,0.7734323143959045,0.7376923076923076,0.7723477093124017
external_single,ElasticNet,7,3,glass_adhesion_kpa,25,0.5758041739463806,40.71646254607128,31.758241653442383,0.6513031721115112,0.7727053761482239,0.7323076923076922,0.7675842470914329
external_single,KNN,7,3,glass_adhesion_kpa,25,0.35475468620761597,50.21682750212429,40.56902098175981,0.8032716512680054,0.8513702091058756,0.8092307692307691,0.8039123007145997
external_single,SVR-RBF,7,3,glass_adhesion_kpa,25,0.6762132391033516,35.5726636762235,29.043396157259668,0.5690226554870605,0.8524674445649383,0.81,0.8841552219377031
external_single,RandomForest,7,3,glass_adhesion_kpa,25,0.5072260206563015,43.884456720185874,33.79290441611348,0.7019786238670349,0.832092026350185,0.7838461538461537,0.8142781415215894
external_single,HistGB,7,3,glass_adhesion_kpa,25,0.4509439373378902,46.3228411490063,38.48753790085921,0.7409831881523132,0.8322174070029854,0.7866897625808418,0.8100266081578513
external_single,MLP,7,3,glass_adhesion_kpa,25,0.48755109310150146,44.75196808477743,35.343544006347656,0.7158554196357727,0.7904840111732483,0.7346153846153847,0.7973898935767202
external_single,Mean,7,4,glass_adhesion_kpa,25,-1.1012053489685059,90.61938021368553,71.90779113769531,1.4495534896850586,,,0.0
external_single,Ridge,7,4,glass_adhesion_kpa,25,0.6590957045555115,36.500857826499264,25.618051528930664,0.5838701128959656,0.8433977961540222,0.9069230769230769,0.8443537580903301
external_single,ElasticNet,7,4,glass_adhesion_kpa,25,0.6470887064933777,37.13809579366836,26.30118179321289,0.594063401222229,0.8362106680870056,0.8746153846153846,0.8369156962029506
external_single,KNN,7,4,glass_adhesion_kpa,25,0.5731280315433527,40.84469534884984,35.200434086137335,0.6533544063568115,0.8769825147655913,0.8576923076923076,0.8598811308023465
external_single,SVR-RBF,7,4,glass_adhesion_kpa,25,0.7154115205047871,33.34997405359759,25.21733178929667,0.5334683656692505,0.859629004506716,0.8423076923076923,0.8951200037921714
external_single,RandomForest,7,4,glass_adhesion_kpa,25,0.6123463959363786,38.9232195316097,32.2299733491289,0.6226183176040649,0.8803613775802305,0.8607692307692307,0.8671806540059046
external_single,HistGB,7,4,glass_adhesion_kpa,25,0.6705592980065733,35.88190318455759,29.931628338415376,0.573969304561615,0.8717799832855333,0.8376923076923077,0.8854691450760426
external_single,MLP,7,4,glass_adhesion_kpa,25,0.510162353515625,43.75351269380408,32.34469223022461,0.6998840570449829,0.7891174554824829,0.74,0.7869754118266534
external_single,Mean,1337,0,glass_adhesion_kpa,25,-1.1109206676483154,90.82863436335757,72.08104705810547,1.452900767326355,,,0.0
external_single,Ridge,1337,0,glass_adhesion_kpa,25,0.6076638698577881,39.15759206848095,28.26038360595703,0.6263673901557922,0.8228579163551331,0.8576923076923076,0.8161188693754267
external_single,ElasticNet,1337,0,glass_adhesion_kpa,25,0.605039119720459,39.28835643255995,28.4797306060791,0.628459095954895,0.8204867839813232,0.8346153846153845,0.8145603116472016
external_single,KNN,1337,0,glass_adhesion_kpa,25,0.4464318157140664,46.5127913608439,38.84207766179343,0.7440216541290283,0.8656679160995472,0.8215384615384616,0.8099124847379685
external_single,SVR-RBF,1337,0,glass_adhesion_kpa,25,0.6424275246669646,37.38254658530573,31.632750118646108,0.597973644733429,0.8511278867746849,0.78,0.8760986293615501
